Opportunity_ID,Company,Industry,Region,Stage,Amount,Source,Rep,Created_Date,Close_Date,Days_Open,Closed_Won,Next_Step
OPP-0213,BrightPath Finance 213,Legal,Northeast,Proposal,47500,Web Form,Preston,2026-01-31,,25,No,Book discovery call
OPP-0214,Piedmont Flooring 214,IT Services,Southwest,Closed Lost,62000,Web Form,John,2026-05-20,2026-07-16,57,No,Follow up on pricing
OPP-0215,Crown Auto Group 215,Construction,Northeast,Discovery,17000,Web Form,Sarah,2026-01-09,,87,No,Send proposal
OPP-0216,Piedmont Flooring 216,Construction,Southwest,Prospecting,7000,Cold Call,Maya,2026-04-25,,79,No,Confirm decision timeline
OPP-0217,Piedmont Flooring 217,Real Estate,West,Proposal,10000,LinkedIn,Chris,2026-02-05,,67,No,Demo completed
OPP-0218,Carolina Solar 218,Finance,Southeast,Discovery,21000,Web Form,Chris,2026-05-14,,31,No,Follow up on pricing
OPP-0219,Prime Medical Billing 219,Manufacturing,West,Proposal,57500,Cold Call,John,2026-05-23,,66,No,Needs budget approval
OPP-0220,Piedmont Flooring 220,IT Services,Midwest,Demo Scheduled,41000,Event,Sarah,2026-04-07,,26,No,No response yet
OPP-0221,Ironclad Security 221,IT Services,Midwest,Closed Lost,74500,Google Ads,Sarah,2026-04-16,2026-06-11,56,No,Demo completed
OPP-0222,Elite HVAC 222,Finance,Southwest,Proposal,60500,Organic Search,Chris,2026-04-05,,14,No,Book discovery call
OPP-0223,Cedar Creek Realty 223,IT Services,Midwest,Closed Won,27000,Organic Search,John,2026-05-31,2026-09-03,95,Yes,Book discovery call
OPP-0224,Crown Auto Group 224,IT Services,Southwest,Discovery,27000,Organic Search,Sarah,2026-01-31,,64,No,Demo completed
OPP-0225,Prime Medical Billing 225,Home Services,Southwest,Closed Won,51500,Partner,Preston,2026-04-30,2026-07-10,71,Yes,No response yet
OPP-0226,Lakeview Insurance 226,IT Services,Northeast,Closed Won,43500,Partner,Preston,2026-02-22,2026-04-13,50,Yes,Legal review
OPP-0227,Apex Remodeling 227,IT Services,Southwest,Proposal,56000,Organic Search,Chris,2026-03-17,,22,No,Confirm decision timeline
OPP-0228,Redline Construction 228,Legal,Midwest,Demo Scheduled,46000,Event,Sarah,2026-03-07,,65,No,Follow up on pricing
OPP-0229,BrightPath Finance 229,Construction,Southeast,Negotiation,65500,Cold Call,Preston,2026-02-17,,72,No,Book discovery call
OPP-0230,ABC Roofing 230,IT Services,West,Demo Scheduled,32500,Google Ads,Maya,2026-01-18,,93,No,Demo completed
OPP-0231,Northstar Manufacturing 231,Manufacturing,Southeast,Prospecting,64500,Cold Call,Preston,2026-05-05,,5,No,Legal review
OPP-0232,Metro IT Services 232,Healthcare,Southeast,Proposal,39500,Web Form,Chris,2026-01-05,,67,No,Follow up on pricing
OPP-0233,Ironclad Security 233,Healthcare,Midwest,Discovery,70000,LinkedIn,Maya,2026-03-06,,48,No,No response yet
OPP-0234,Elite HVAC 234,Healthcare,Southwest,Proposal,31500,Referral,Maya,2026-03-18,,90,No,Needs budget approval
OPP-0235,Smith Plumbing 235,Home Services,Southwest,Proposal,10000,Google Ads,John,2026-06-13,,4,No,Send proposal
OPP-0236,Oak Street Legal 236,Construction,Southeast,Closed Won,8000,Event,John,2026-02-28,2026-03-30,30,Yes,Book discovery call
OPP-0237,Ironclad Security 237,Healthcare,Midwest,Prospecting,43000,Google Ads,Sarah,2026-01-05,,29,No,Confirm decision timeline
OPP-0238,Queen City Dental 238,Healthcare,West,Proposal,52500,Web Form,John,2026-05-19,,45,No,Book discovery call
OPP-0239,Apex Remodeling 239,Construction,Midwest,Prospecting,32500,Web Form,Maya,2026-01-20,,46,No,No response yet
OPP-0240,Lakeview Insurance 240,Manufacturing,Southeast,Discovery,73500,Google Ads,Chris,2026-04-07,,58,No,Legal review
OPP-0241,Ironclad Security 241,Legal,Southwest,Closed Won,12000,Google Ads,John,2026-01-22,2026-02-28,37,Yes,Demo completed
OPP-0242,Blue Ridge SaaS 242,Legal,Southeast,Prospecting,3500,Partner,Sarah,2026-03-20,,59,No,Needs budget approval
OPP-0243,Northstar Manufacturing 243,Healthcare,West,Negotiation,74000,Referral,Chris,2026-05-12,,55,No,Demo completed
OPP-0244,Smith Plumbing 244,IT Services,West,Closed Won,4500,Web Form,Chris,2026-03-16,2026-05-10,55,Yes,Follow up on pricing
OPP-0245,Oak Street Legal 245,Home Services,Northeast,Negotiation,24500,LinkedIn,Preston,2026-02-05,,37,No,Follow up on pricing
OPP-0246,Piedmont Flooring 246,Home Services,West,Demo Scheduled,56500,Referral,Chris,2026-03-18,,64,No,Confirm decision timeline
OPP-0247,Apex Remodeling 247,Manufacturing,Midwest,Demo Scheduled,20000,Web Form,Maya,2026-03-19,,3,No,Demo completed
OPP-0248,Cedar Creek Realty 248,Real Estate,Northeast,Demo Scheduled,20000,Organic Search,Maya,2026-03-18,,44,No,Demo completed
OPP-0249,Ironclad Security 249,Real Estate,Southeast,Discovery,65500,Partner,Chris,2026-05-28,,34,No,Confirm decision timeline
OPP-0250,Redline Construction 250,IT Services,Southwest,Proposal,72500,Cold Call,John,2026-02-16,,90,No,Send proposal
